"Año","U_Source","U_Destiny"
"1958","New york u.","U. Pontificia bolivariana",
"1958","U. Of illinois at urbana-champaign","U. De los andes",
"1958","U. Of notre dame","U. De los andes",
"1958","Rensselaer polytechnic institute","U. Nal. De Col.",
"1958","Rice u.","U. Nal. De Col.",
"1959","Southern methodist u.","U. Pontificia bolivariana",
"1959","U. Of illinois at urbana-champaign","U. De los andes",
"1959","U. Of illinois at urbana-champaign","U. De los andes",
"1960","Harvard u.","U. Javeriana",
"1960","Central washington u.","U. Nal. De Col.",
"1960","U. Of tulsa","U. Industrial de std",
"1960","Cornell u.","U. Nal. De Col.",
"1960","Bowdoin college","U. Del atlantico",
"1961","Michigan state u.","U. De los andes",
"1961","Michigan state u.","U. Nal. De Col.",
"1961","Michigan state u.","U. De los andes",
"1961","Baylor u.","U. Nal. De Col.",
"1961","Georgetown u.","U. Javeriana",
"1961","Saint louis u.-main campus","U. Pedagogica nal.",
"1961","Otterbein u.","U. Del atlantico",
"1961","Pennsylvania state u.","U. Del atlantico",
"1961","U. Of rochester","Instituto caro y cuervo",
"1961","U. Of rochester","Instituto caro y cuervo",
"1962","Harvard u.","U. Javeriana",
"1962","U. Of colorado","U. Nal. De Col.",
"1962","Ohio state u.","U. Industrial de std",
"1962","Stanford u.","U. Javeriana",
"1962","U. Of california - los angeles","U. Pedagogica nal.",
"1962","U. Of california, berkeley","U. Del atlantico",
"1962","Michigan state u.","U. Javeriana",
"1963","Southern methodist u.","U. De cartagena",
"1963","Western michigan u.","U. Nal. De Col.",
"1963","Johns hopkins u.","U. Nal. De Col.",
"1963","U. Of illinois at urbana-champaign","U. De los andes",
"1963","Stanford u.","U. Del cauca",
"1963","Massachusetts institute of technology","U. De los andes",
"1963","Massachusetts institute of technology","U. Industrial de std",
"1963","Saint louis u.-main campus","U. Pedagogica nal.",
"1963","Harvard u.","Colegio mayor de nuestra señora del rosario",
"1963","U. Of wisconsin - madison","U. Nal. De Col.",
"1963","U. Of oregon","U. De los andes",
"1964","Iowa state u.","U. Del valle",
"1964","Northwestern u.","U. Javeriana",
"1964","U. Of california - los angeles","U. Nal. De Col.",
"1964","U. Of california - los angeles","U. Nal. De Col.",
"1964","U. Of georgia","U. De nariño",
"1964","U. Of rochester","U. De caldas",
"1964","Johns hopkins u.","U. Nal. De Col.",
"1964","Columbia u. In the city of new york","U. De cartagena",
"1964","Southern methodist u.","U. Javeriana",
"1964","U. Of wisconsin - madison","U. Javeriana",
