Obra, Fecha, Lugar, Autor
Asterix,1959,France,N.N
N.O,1959,Santa Monica  California,Suzanne Vega
N.O,1959,Royal Oak  Michigan,Sam Raimi
N.O,1959,Queens,Susan Faludi
N.O,1959,Chattanooga  Tennessee,Tamara E. Jernigan
N.O,1959,Lansing  Michigan,Magic Johnson
N.O,1959,Paris,Luc Besson
N.O,1959,Chicago,Stanley Jordan
N.O,1959,Santa Rosa  California,Rebecca De Mornay
N.O,1959,Fitzrovia,Ben Elton
N.O,1959,nowrap,Stephen Wolfram
N.O,1959,Los Angeles  California  U.S.,Val Kilmer
N.O,1959,Slough,Tracey Ullman
N.O,1959,Dakar,Youssou N'Dour
N.O,1959,McGehee  Arkansas,Nancy A. Collins
N.O,1959,N.L,Steve Hindalong
N.O,1959,London Welbeck Hospital,Sarah  Duchess of York
N.O,1959,Perth Amboy  New Jersey,Richie Sambora
N.O,1959,N.L,Fab Five Freddy
N.O,1959,Huinca Renancó,Santos Laciar
N.O,1959,Seattle  Washington,Ryan Stiles
N.O,1959,Blackpool,Robert Smith (musician)
N.O,1959,Oxford,Hugh Laurie
N.O,1959,Río Piedras  Puerto Rico,Carlos de León
N.O,1959,Kirovskiy  Kazakh SSR,Akhmed Zakayev
N.O,1959,London,Adrian Paul
N.O,1959,Paddington,Emma Thompson
N.O,1959,Normandy,Louis Philippe (musician)
N.O,1959,Zajas,Ali Ahmeti
N.O,1959,USA,Elyssa Davalos
N.O,1959,Namsos,Harald Tveit Alvestrand
N.O,1959,Newark  New Jersey,Jason Alexander
N.O,1959,Harlem,Kurtis Blow
N.O,1959,Yakima  Washington,Kyle MacLachlan
N.O,1959,South Orange  New Jersey,Kevin Spacey
N.O,1959,Athens  Ohio,Maya Lin
N.O,1959,Fort Meade,Neal Stephenson
N.O,1959,Suffolk County  New York,Eric Corley
N.O,1959,Kōchi  Kōchi,Nobuo Uematsu
N.O,1959,New York City,John Linnell
N.O,1959,Halmstad,Per Gessle
N.O,1959,New York City,Peter Shor
N.O,1959,La Jolla  California,Robbin Crosby
N.O,1959,Kobar,Marwan Barghouti
N.O,1959,Los Angeles,Florence Griffith Joyner
N.O,1959,Sarnia,Chris Hadfield
N.O,1959,Chatham  Kent,Billy Childish
N.O,1959,Fairburn  Georgia,Lee Haney
N.O,1959,Santiago Tianguistenco,Salvador Sánchez
N.O,1959,Los Angeles,Winona LaDuke
N.O,1959,Kensington  Liverpool,Paul McGann
N.O,1959,Massapequa  New York,Brian Setzer
N.O,1959,Brooklyn,Vincent D'Onofrio
N.O,1959,Mesa  Arizona,Darl McBride
N.O,1959,Toronto,Stephen Harper
N.O,N.A.,France,Canadian Martyrs
N.O,1959,N.L,Pete Trewavas
N.O,1959,Ft. Worth  Texas,Gene Hatcher
N.O,1959,Ibadan,Sade (singer)
N.O,1959,Tokyo,Haruhiko Mikimoto
N.O,1959,Edmonton,Gerhard (cartoonist)
N.O,1959,Phetchabun,Khaosai Galaxy
N.O,1959,Queens,Perry Farrell
N.O,1959,New York City,Keith Olbermann
N.O,1959,Philadelphia,Thomas F. Wilson
N.O,1959,Baltimore,Ira Glass
N.O,1959,London Borough of Lambeth,Simon Cowell
N.O,1959,Los Angeles  California,Pat Smear
N.O,1959,Buenos Aires,Fabián Bielinsky
N.O,1959,Orinoca Canton,Evo Morales
N.O,1959,New York City,Joe Lockhart
N.O,1959,Havana,César Évora
N.O,1959,th_place  Chandigarh,Kapil Dev
N.O,1959,Berkeley  California,Nina Hartley
N.O,1959,Cape Town,Richard Borcherds
N.O,1959,Frenchay,Julie Burchill
N.O,1976,France,Lady Victoria Hervey
N.O,1959,Manchester,Jeanette Winterson
N.O,1959,Detroit,Joseph Alessi
N.O,1959,The Bronx  New York,Irene Cara
N.O,1959,Joliet  Illinois,Jesse Barfield
N.O,1959,N.L,Terry Hall (singer)
N.O,1959,Yokohama,Otomo Yoshihide
N.O,1959,Spokane  Washington,Ryne Sandberg
N.O,1959,Leuven,Koenraad Elst
N.O,1959,Izúcar de Matamoros,Ángel Maturino Reséndiz
N.O,1944,France,Henri Gouraud (computer scientist)
N.O,1959,Ziębice,Janusz Kamiński
N.O,1959,Selma  Alabama,Jo Bonner
N.O,1959,Coventry,Martin Atkins
N.O,1959,Merced  California,Dennis Cardoza
N.O,1959,St. Petersburg  Florida,Jeff Miller (Florida politician)
N.O,1959,Chicago,Rahm Emanuel
N.O,1959,Champaign  Illinois,Mark Kirk
N.O,1959,Laukaa,Juha Kankkunen
N.O,1959,Vancouver,Jennifer Granholm
N.O,1959,Redhill  Surrey,John Baron (politician)
N.O,1959,Karachi,Chris Van Hollen
N.O,1959,Ystrad Rhondda,Jill Evans
