Obra, Fecha, Lugar, Autor
Hearts in Atlantis,2006,United States,Stephen King
N.O,1947,Portland  Maine,Stephen King
N.O,N.A,United States,Kent M. Pitman
N.O,1950,United States,Tonio K
N.O,1945,United States,Joey Skaggs
N.O,1965,United States,Robert Tappan Morris
N.O,1947,United States,John Robbins
N.O,1940,United States,John Grinder
N.O,1954,United States,Tony Thompson
N.O,1972,United States,Stephen Glass
N.O,1904,United States,H. Beam Piper
N.O,1937,United States,Bernard Lefkowitz
N.O,N.A,United States,Craig D. Idso
N.O,N.A,United States,Shep Pettibone
N.O,2006,Prezza  Italy,Giuliano Zaccardelli
N.O,N.A,United States,Erol Otus
N.O,1961,United States,Jeff Dee
N.O,1950,United States,Allen Ravenstine
N.O,1884,United States,Alice Roosevelt Longworth
N.O,1954,United States,Emma Bull
N.O,1938,United States,John Sterling
N.O,1922,United States,Barbara Cox Anthony
N.O,N.A,United States,Paul Tibbitt
N.O,2006,Tulsa  Oklahoma,Bobby Baldwin
N.O,N.A,United States,Donnie Sterling
N.O,1964,United States,Peter Schweizer
N.O,1973,United States,Mike D'Antonio
N.O,1971,United States,Sara Ryan
N.O,1961,United States,Ken Keeler
N.O,N.A,United States,Stephen Mertz
N.O,1948,United States,Peter F. Paul
N.O,1947,United States,Marc William Miller
N.O,N.A,United States,Tim Hill
N.O,1933,United States,Ron W. Miller
N.O,2006,Dominican Republic,Nelson de la Rosa Martínez
N.O,N.A,United States,Shannon Gilligan
N.O,2006,N.L,Carla Robbins
N.O,N.A,United States,Paul Harris
N.O,1993,United States,Dilley Sextuplets
N.O,1952,United States,Matthew Bright
N.O,1889,United States,Charles B. Mintz}}
N.O,1951,United States,Erick Wujcik
N.O,1969,United States,Gina Prince-Bythewood
N.O,N.A,United States,Henry Schacht
N.O,1961,United States,John A. Davis
N.O,1955,United States,Constance Money
N.O,1918,United States,J. Howard Miller
N.O,1966,United States,Kevin Powell
N.O,N.A,United States,Tim Vigil
N.O,1932,United States,John D. F. Black
N.O,1951,United States,James L. Snyder
N.O,1962,United States,Kyme
N.O,1962,United States,Matthew Stover}}
N.O,2006,Clinton  Massachusetts,Barbara McNamara
N.O,N.A,United States,Shye Ben-Tzur
N.O,1965,United States,Keith Boykin
N.O,N.A,United States,Amos Poe
N.O,1954,United States,Darius James
N.O,1970,United States,Eric Heisserer
N.O,1958,United States,Troy Denning
N.O,1969,United States,Ian Bremmer
N.O,N.A,United States,Adaora Udoji
N.O,N.A,United States,Georgia Fudge
N.O,N.A,United States,Paul Brill
N.O,1959,United States,Marc Wallice
N.O,N.A,United States,John Case
N.O,N.A,United States,T. Sean Shannon
N.O,1955,United States,Rick Goodman
N.O,1971,United States,Choire Sicha
N.O,1961,United States,Charles Lane
N.O,N.A,United States,Roger Black
N.O,N.A,United States,Jesse May
N.O,1954,United States,Steven Banks
N.O,1951,United States,Serena
N.O,1954,United States,Glenn Gordon Caron
N.O,1952,United States,Fred Small
N.O,1924,United States,Arnold Drake
N.O,N.A,United States,Daria Dolan
N.O,1951,United States,Brian Attebery
N.O,1959,United States,Greg Cox
N.O,1955,United States,Daniel M. Kimmel
N.O,1971,United States,Craig Brewer
N.O,1904,United States,Warren B. Duff
N.O,N.A,United States,Bill Bruce
N.O,1969,United States,John Kenneth Muir
N.O,N.A,United States,Peter Biskind
N.O,1939,United States,Ed Roberts
N.O,N.A,United States,Bill Davis
N.O,N.A,United States,Dean Kenyon
N.O,1968,United States,Tom Long
N.O,1951,United States,Raven Grimassi
N.O,1951,United States,Jeff Fenholt
N.O,N.A,United States,Larry Shaw
N.O,1967,United States,Marlin Gray
N.O,1979,United States,Susan Eldridge
N.O,1971,United States,Chris Booker
N.O,N.A,United States,John Shelton Lawrence
N.O,N.A,United States,Dara Brown
N.O,1944,United States,Danilo Bach
N.O,1954,United States,Buzz Bissinger
