Obra, Fecha, Lugar, Autor
Batman,1989,United States,Tim Burton
N.O,1989,Riverside  California,Alia Shawkat
N.O,1989,Hammersmith,Daniel Radcliffe
N.O,1989,Madrid,Belinda
N.O,1989,Santa Barbara  California,Alex D. Linz
N.O,1958,Burbank  California,Tim Burton
N.O,N.A,United States,Kent M. Pitman
N.O,1950,United States,Tonio K
N.O,1945,United States,Joey Skaggs
N.O,1904,United States,H. Beam Piper
N.O,1989,Shashi District,Chen Long
N.O,1989,Tema,Freddy Adu
N.O,1989,Sydney  New South Wales,Josh Reynolds
N.O,1965,United States,Robert Tappan Morris
N.O,1947,United States,John Robbins
N.O,1940,United States,John Grinder
N.O,1954,United States,Tony Thompson
N.O,1972,United States,Stephen Glass
N.O,1989,Eugene  Oregon,Caitlin Wachs
N.O,1989,Carmel-by-the-Sea  California,Jeremy Sumpter
N.O,1989,Stockholm,Anna Sundstrand
N.O,1989,Honolulu,Michelle Wie
N.O,1989,Santa Monica  California,Riley Keough
N.O,1989,Leeds,Matthew Lewis
N.O,1989,Lviv,Kateryna Lagno
N.O,1937,United States,Bernard Lefkowitz
N.O,1989,Kingwood  Texas,Renee Olstead
N.O,1989,New Orleans  Louisiana,Percy Miller  Jr.
N.O,N.A,United States,Erol Otus
N.O,1961,United States,Jeff Dee
N.O,1989,Yonkers  New York,Hayden Panettiere
N.O,1989,Fort Collins  Colorado,Jake Lloyd/Jake Broadbent
N.O,1950,United States,Allen Ravenstine
N.O,1884,United States,Alice Roosevelt Longworth
N.O,1989,Lagos,Damilola Taylor
N.O,1954,United States,Emma Bull
N.O,1938,United States,John Sterling
N.O,1922,United States,Barbara Cox Anthony
N.O,N.A,United States,Paul Tibbitt
N.O,1989,Bristol,Basia A'Hern
N.O,N.A,United States,Donnie Sterling
N.O,1989,Toronto,Cassie Steele
N.O,1964,United States,Peter Schweizer
N.O,1989,Saint Petersburg,Anton Yelchin
N.O,1989,New York City,Rory Culkin
N.O,1989,N.L,Nkosi Johnson
N.O,1989,Torrance  California,Aly Michalka
N.O,N.A,United States,Craig D. Idso
N.O,1989,N.L,Chalky
N.O,N.A,United States,Shep Pettibone
N.O,N.A,United States,Henry Schacht
N.O,1961,United States,John A. Davis
N.O,1955,United States,Constance Money
N.O,1989,Budapest,Dániel Gyurta
N.O,1989,Sacramento  California,Brie Larson
N.O,1918,United States,J. Howard Miller
N.O,1966,United States,Kevin Powell
N.O,1989,N.L,Sayumi Michishige&ltbr&gt道重 さゆみ
N.O,N.A,United States,Tim Vigil
N.O,1932,United States,John D. F. Black
N.O,1951,United States,James L. Snyder
N.O,N.A,United States,Shannon Gilligan
N.O,1989,N.L,Reina Tanaka&ltbr&gt田中 れいな
N.O,1989,Redwood City  California,Alexander Black
N.O,N.A,United States,Paul Harris
N.O,1993,United States,Dilley Sextuplets
N.O,1952,United States,Matthew Bright
N.O,1973,United States,Mike D'Antonio
N.O,1971,United States,Sara Ryan
N.O,1989,N.L,Alex Tomaini
N.O,1961,United States,Ken Keeler
N.O,N.A,United States,Stephen Mertz
N.O,1948,United States,Peter F. Paul
N.O,1947,United States,Marc William Miller
N.O,N.A,United States,Tim Hill
N.O,1933,United States,Ron W. Miller
N.O,1989,San Clemente  California,Ryan Sheckler
N.O,1889,United States,Charles B. Mintz}}
N.O,1989,New York City,Alia Sabur
N.O,1989,Lincoln  Nebraska,Lindsey Shaw
N.O,1989,Ottawa Ontario  Canada,Keenan MacWilliam
N.O,1989,Santa Monica  California,Jonathan Ahdout
N.O,1951,United States,Erick Wujcik
N.O,1989,N.L,Asuca Hayashi&ltbr&gt林 明日香
N.O,1989,Melbourne  Victoria  Australia,Eliza Taylor
N.O,1969,United States,Gina Prince-Bythewood
N.O,1989,Manchester  England,Richard Fleeshman
N.O,1989,Glennville  Georgia,Katelyn Tarver
N.O,1989,Laguna (province),Sabrina
N.O,1989,Towson  Maryland,Kimmie Meissner
N.O,1962,United States,Kyme
N.O,1989,Great Neck  New York,Emily Hughes
N.O,1962,United States,Matthew Stover}}
N.O,1989,London Borough of Camden,Louisa Lytton
N.O,1989,New York City,Bonnie Dennison
N.O,1989,Sofia  Bulgaria,Sesil Karatantcheva
N.O,1989,Viljandi,Triinu Kivilaan
N.O,1989,Los Angeles,Kristin Herrera
N.O,N.A,United States,Shye Ben-Tzur
N.O,1989,Houston  Texas,Katy Taylor
