Obra, Fecha, Lugar, Autor
Batman,1989,United States,Tim Burton
Death Becomes Her,1992,United States,Robert Zemeckis
''Guns  Germs  and Steel'',1997,United States,Jared Diamond
What Women Want,2000,United States,Nancy Meyers
Ordinary People,1980,United States,Robert Redford
Coal Miner's Daughter,1980,United States,Michael Apted
The Elephant Man,1980,United States,David Lynch
Missing,1982,United States,Costa-Gavras
The Verdict,1982,United States,Sidney Lumet
Stand and Deliver,1988,United States,Ramón Menéndez
Terms of Endearment,1983,United States,James L. Brooks
The Right Stuff,1983,United States,Philip Kaufman
Tender Mercies,1983,United States,Bruce Beresford
Places in the Heart,1984,United States,Robert Benton
A Soldier's Story,1984,United States,Norman Jewison
Prizzi's Honor,1985,United States,John Huston
Platoon,1986,United States,Oliver Stone
Children of a Lesser God,1986,United States,Randa Haines
Hannah and Her Sisters,1986,United States,Woody Allen
Scream,1996,United States,Wes Craven
Dead Man,1995,United States,Jim Jarmusch
Topkapi,1964,United States,Jules Dassin
''Alas  Babylon'',2005,United States,Pat Frank
Fail-Safe,1964,United States,Sidney Lumet
Jailhouse Rock,1957,United States,Richard Thorpe
Broadcast News,1987,United States,James L. Brooks
Fatal Attraction,1987,United States,Adrian Lyne
Moonstruck,1987,United States,Norman Jewison
Rain Man,1988,United States,Barry Levinson
The Accidental Tourist,N.A,United States,Anne Tyler
Mississippi Burning,1988,United States,Alan Parker
Working Girl,1988,United States,Mike Nichols
Driving Miss Daisy,1990,United States,Bruce Beresford
Dead Poets Society,1989,United States,Peter Weir
Field of Dreams,1989,United States,Phil Alden Robinson
My Left Foot,1989,Ireland ,Jim Sheridan
Dances with Wolves ,1990,United States,Kevin Costner
Awakenings,1990,United States,Penny Marshall
Ghost,2014,United States,Jerry Zucker
The Godfather Part III,1990,United States,Francis Ford Coppola
Lamb: The Gospel According to Biff  Christ's Childhood Pal,2002,United States,Christopher Moore (author)
Beauty and the Beast,5113,United States,Plainlist
Bugsy,1991,United States,Barry Levinson
The Prince of Tides,1991,United States,Barbra Streisand<ref>cite news
Unforgiven,1992,United States,Clint Eastwood
Scent of a Woman,1992,United States,Martin Brest
Thunder Road,1958,United States,Arthur Ripley
The Martian Way and Other Stories,1974,United States,Isaac Asimov
Minority Report,2002,United States,Steven Spielberg
A.I. Artificial Intelligence,2001,United States,Steven Spielberg
The Adventures of Buckaroo Banzai Across the 8th Dimension,2017,United States,W. D. Richter
Groundhog Day,1993,United States,Harold Ramis
Quiz Show,1994,United States,Robert Redford
Apollo 13,1995,United States,Ron Howard
Jerry Maguire,1996,United States,Cameron Crowe
As Good as It Gets,1997,United States,James L. Brooks
Good Will Hunting,1997,United States,Gus Van Sant
L.A. Confidential,1997,United States,Curtis Hanson
The Thin Red Line,1998,United States,Terrence Malick
The Insider,1999,United States,Michael Mann (director)
Boeing (707) Boeing (707),1965,United States,John Rich (director)
The Patent Leather Kid,1927,United States,Alfred Santell
The Circus,1928,United States,Charlie Chaplin
Thunderbolt,1929,United States,Josef von Sternberg
The Green Goddess,1930,United States,Walter Morosco
The Big Pond,1930,United States,Hobart Henley
Bulldog Drummond,1929,United States,F. Richard Jones
Condemned ,1929,United States,Wesley Ruggles
The Rogue Song,1930,United States,Irving Thalberg
Santa Claus Conquers the Martians,1964,United States,Nicholas Webster
Enema of the State,1999,United States,Blink-182
Adam's Song,2000,United States,Blink-182
First Date (Blink-182 song),N.A,United States,Blink-182
The Rock Show,2001,United States,Blink-182
Rosemary's Baby,N.A,United States,Ira Levin
Fools Rush In,1997,United States,Andy Tennant
This Perfect Day,2010,United States,Ira Levin
The Boys from Brazil,1976,United States,Ira Levin
SpaceCamp,1986,United States,Harry Winer
The Santa Clause.,1994,United States,John Pasquin
After the Thin Man,1936,United States,W.S. Van Dyke
Another Thin Man,1939,United States,W.S. Van Dyke
A Free Soul,1931,United States,Clarence Brown
The Royal Family of Broadway,1930,United States,George Cukor<br/>Cyril Gardner
Dr. Jekyll and Mr. Hyde,1931,United States,Rouben Mamoulian
Shadow of the Thin Man,1941,United States,W.S. Van Dyke
Song of the Thin Man,1947,United States,Edward Buzzell
The Thin Man Goes Home,1945,United States,Richard Thorpe
The Affairs of Cellini,1934,United States,Gregory La Cava
Star Trek V:&ltbr/&gtThe Final Frontier,1989,United States,William Shatner
The Face Behind the Mask,1941,United States,Robert Florey
Angels with Dirty Faces,1938,United States,Michael Curtiz
Abe Lincoln in Illinois,1940,United States,John Cromwell (director)
Penny Serenade,1941,United States,George Stevens
The Devil and Daniel Webster,N.A,United States,Steven Vincent Benét
None But the Lonely Heart,1944,United States,Clifford Odets
Bowling for Columbine,2002,United States,Michael Moore
The Dove,1927,United States,Roland West
Empire of the Sun,1987,United States,Steven Spielberg
The End of Eternity,1955,United States,Isaac Asimov
