Obra, Fecha, Lugar, Autor
Final Fantasy:&ltbr /&gtThe Spirits Within,2001,United States,N.N
Mulholland Drive,2001,United States,DavidLynch
Original Sin,2001,United States,MichaelCristofer
Black Hawk Down,2001,United States United Kingdom<ref name"bfi">cite web,RidleyScott
A.I. Artificial Intelligence,2001,United States,StevenSpielberg
Gosford Park,2001,United Kingdom,RobertAltman
Moulin Rouge!,2001,Plainlist,BazLuhrmann
Adrenaline (album),2001,N.L,Deftones
The Rock Show,2001,United States,Blink-182
Baby Boy,2001,United States,JohnSingleton
Who's Next,2001,London,TheWho
Songs for the Deaf,2001,London ,QueensoftheStoneAge
Slipknot (album),2001,N.L,Slipknot(band)
Max Keeble's Big Move,2001,United States,TimHill(director)
Ico,2001,Tokyo,FumitoUeda
The Wiki Way,2001,N.L,BoLeuf WardCunningham
The Future of Ideas,2001,N.L,LawrenceLessig
Just Enough Education to Perform,2001,N.L,Stereophonics
The Wedding Planner,2001,United States,AdamShankman
The Skeptical Environmentalist: Measuring the Real State of the World,2001,N.L,BjørnLomborg
In the Bedroom,2001,United States,ToddField
Amélie,2001,Plainlist,Jean-PierreJeunet
Lara Croft: Tomb Raider,2001,unbulleted list,SimonWest
Moss Hart,2001,New York,link1StevenBach
Vanilla Sky,2001,United States,CameronCrowe
Donnie Darko,2001,United States,RichardKelly(director)
The World Needs a Hero,2001,New York City  New York,Megadeth
Childhood's End,2001,United Kingdom,ArthurC.Clarke
A Knight's Tale,2001,United States,BrianHelgeland
Ticker,2001,United States,AlbertPyun
Exit Wounds,2001,United States,AndrzejBartkowiak
Spirited Away,2001,Japan,HayaoMiyazaki
The Mexican,2001,United States,GoreVerbinski
Stormy Weather (song),2001,Copenhagen,FatsComet
One Foot in Heaven,2001,United States,IrvingRapper
What Makes Sammy Run?,2001,United States,BuddSchulberg
Blow ,2001,United States ,TedDemme
Pearl Harbor,2001,United States,MichaelBay
title,2001,Bath  Somerset,TetsuyaMizuguchi
Cannes Film Festival,2001,Cannes  France,2Street Sarah
Jay and Silent Bob Strike Back,2001,United States,KevinSmith
Satyricon,2001,Roman Empire,Petronius
Slough Trading Estate  Slough  Berkshire,2001,Television in the United Kingdom,GerryAnderson SylviaAnderson TonyBarwick RichardConway BryanCooper PeterCurran(director)
Rock Steady (album),2001,N.L,NoDoubt
Lateralus,2001,N.L,Tool(band)
Amnesiac (album),2001,N.L,Radiohead
Training Day,2001,United States,plainlist
Ali,2001,United States,MichaelMann(director)
I Am Sam,2001,United States,JessieNelson(filmmaker)
The Lord of the Rings: The Fellowship of the Ring,2001,Plainlist,PeterJackson
Human Nature,2001,United States|France<ref>cite web ,MichelGondry
Iris,2001,Plainlist,RichardEyre
Fly by Night (album),2001,N.L,Rush(band)
Revolution OS,2001,United States,J.T.S.Moore
Spy Kids (franchise),2001,United States|Mexico,RobertRodriguez
