Obra, Fecha, Lugar, Autor
The Kalevala,1835,Grand Duchy of Finland now Republic of Finland,Elias Lönnrot
N.O,1835,Brussels,Leopold II
N.O,1835,Riese Pio X,Pius X
N.O,1835,Christian County  Kentucky,Adlai Stevenson I
N.O,1835,Pesiou (now Hermosillo,Cajemé (José María Bonifacio Leiva Perez)
N.O,1835,N.L,Sai Baba of Shirdi
N.O,1835,Savigliano,Giovanni Schiaparelli
N.O,1835,Florida  Missouri,Mark Twain
N.O,1835,Galesburg  Michigan,William Rufus Shafter
N.O,1835,St. Peter (Klagenfurt am Wörthersee),Josef Stefan
N.O,1835,Neuchâtel,Alexander Agassiz
N.O,1835,Dunfermline,Andrew Carnegie
N.O,1835,Pietrasanta,Giosuè Carducci
N.O,1835,Roxbury  Massachusetts,Lyman Abbott
N.O,1835,London,Sir Julius Vogel
N.O,1835,Kagoshima,Matsukata Masayoshi
N.O,1835,Verona,Cesare Lombroso
N.O,1835,Bourges,Henri Brisson
N.O,1835,Roquecourbe,Émile Combes
N.O,1835,Liverpool,William Stanley Jevons
N.O,1835,Spencer House (St. James's  London  England),The Earl Spencer
N.O,1835,East Thomaston  Maine,Adelbert Ames
N.O,1802,Sammatti,Elias Lönnrot
N.O,1835,Nakatsu  Ōita,Fukuzawa Yukichi
N.O,1835,Stoke-on-Trent,Richard Pankhurst
N.O,1835,Bruce Castle,George B. N. Hill
N.O,1835,Speyer,Henry Villard
N.O,1835,Neuchâtel,Eugène Borel
N.O,1835,Nuth,Auguste Kerckhoffs
N.O,1835,Leytonstone,Tom Hood
N.O,1835,Washington  Georgia,Edward Porter Alexander
N.O,1835,N.L,Empress Dowager Cixi &ltbr&gt &ltsmall&gt慈禧太后&lt/small&gt
N.O,1835,Prairie Ronde Township  Michigan,Olympia Brown
N.O,1835,Decatur  Georgia,Rebecca Latimer Felton
N.O,1835,N.L,William Crawford Sherrod
N.O,1835,e  Barnesville  Ohio,e  Elisha Gray
N.O,1835,Monterey,Tiburcio Vasquez
N.O,1835,Rome  Georgia,Elias Boudinot
N.O,1835,Hino  Tokyo,Hijikata Toshizō (土方歳三)
N.O,1835,Wallace  Nova Scotia,Simon Newcomb
N.O,1835,Ermoupoli,Demetrios Vikelas
N.O,1835,Qadian,Mirzā Ghulām Ahmad&ltbr&gt{{Nastaliq
N.O,1835,Milford Township  Butler County  Ohio,Andrew Lintner Harris
N.O,1835,N.L,A. V. Dicey}}
N.O,1835,Ayrshire,Jim Wilson
N.O,1835,Bideford,Edgar Dewdney
N.O,1835,Hovingham,Ivor Guest&ltbr/&gt1st Baron of Wimborne&ltbr&gt2nd Baronet of Dowlais
N.O,1835,Boston,Charles Francis Adams Jr.
N.O,1835,England,Alfred Boyd
N.O,1835,Cremona,Eugenio Beltrami
N.O,1835,Pohukaina,Lunalilo
N.O,1835,Shediac  New Brunswick,Daniel Lionel Hanington
N.O,1835,Oxford  Massachusetts,Richard Olney
N.O,1835,Pike County  Alabama,William C. Oates
N.O,1835,Gloucester Village  Sierra Leone Colony and Protectorate,Africanus Horton
N.O,1835,Theresa (village)  New York,Roswell Pettibone Flower
N.O,1835,Buenos Aires,'''Manuel Quintana'''
N.O,1835,Langar  Nottinghamshire,Samuel Butler
N.O,1835,Edinburgh,Sir Archibald Geikie
N.O,1835,Ponteceso,Eduardo Pondal
N.O,1835,Bath  Maine,Arthur Sewall
N.O,1835,Preston  Lancashire,Sir John Eldon Gorst
N.O,1835,nowrap,George McCrary
N.O,1835,Kingston  Ontario,Sir Richard John Cartwright
N.O,1835,The Hague,Alexandrine Pieternella Francois Tinne
N.O,1835,Finchley,Osbert Salvin
N.O,1835,Aki  Kōchi,Iwasaki Yatarō&ltbr&gt {{nihongo
N.O,1835,West Brookfield  Massachusetts,Daniel Henry Chamberlain
N.O,1835,New York City,John La Farge
N.O,1835,Anrode,George Atzerodt
N.O,1835,Bayamo,Tomás Estrada Palma
N.O,1835,Edinburgh,Archibald Scott Cleghorn
N.O,1835,Molonglo Plain,Tom Wills
N.O,1835,Porto San Giorgio,Tommaso Salvadori
N.O,1835,Leon County  Florida,William Dunnington Bloxham
N.O,1835,New Orleans  Louisiana,Robert Kennicott
N.O,1835,Sheffield  England,Harry Wright
N.O,1835,Abbotsham,Thomas Arthur
N.O,1835,Providence Green  Green Hammerton,John Hughlings Jackson
N.O,1835,Berlin,Adolf von Baeyer
N.O,1835,Massachusetts,Benjamin Briggs
N.O,1835,London,Howard Saunders
N.O,1835,N.L,Yosef Hayyim&ltbr&gt&ltsmall&gtיוסף חיים מבגדאד&lt/small&gt
N.O,1835,Portsmouth  New Hampshire,Celia Thaxter
N.O,1835,Swarraton,Sir Nowell Salmon
N.O,1835,nowrap,William Harris
N.O,1835,Derby  England,Edwin Hatch
N.O,1835,Hillsborough  New Hampshire,John Grimes Walker
N.O,1835,Washington  D.C.,Francis Munroe Ramsay
N.O,1835,Boston,Phillips Brooks
N.O,1835,Kilcullen,Abraham Boulger
N.O,1835,Dromkeen,Joseph Bradshaw
N.O,1835,Low Rock Castle,Sir George Stuart White
N.O,1835,Mousehole,Joseph Trewavas
N.O,1835,Bloomsbury,John Joseph Sims
N.O,1835,Wool  Dorset,Thomas Pride
N.O,1835,Brockham,Thomas Burberry
N.O,1835,East Bloomfield  NY,Amanda Theodosia Jones
N.O,1835,Fairfax County  Virginia,Fitzhugh Lee
N.O,1835,Philadelphia,Jacob Ford Kent
