Obra, Fecha, Lugar, Autor
The Kalevala,1835,Grand Duchy of Finland now Republic of Finland,Elias Lönnrot
The Kalevala,1835,Grand Duchy of Finland now Republic of Finland,Elias Lönnrot
''Lucia di Lammermoor'',1835,Nowrap,Gaetano Donizetti
'''I puritani''',1835,Nowrap,Vincenzo Bellini
Democracy in America,1835,N.L,Alexis de Tocqueville
''Maria Stuarda'',1835,Nowrap,Gaetano Donizetti
Thelema.6,1835,N.L,Behemoth (band)
No More Sad Songs,1835,United Kingdom,Little Mix featuring Machine Gun Kelly (rapper)
L'éclair,1835,Opéra-Comique,Fromental Halévy
Le Lys dans la Vallée,1835,France,Honoré de Balzac
Hard (Rihanna song),1835,N.L,Rihanna featuring Young Jeezy
Fairy Tales Told for Children. New Collection.,1835,Denmark,Hans Christian Andersen
Francesca da Rimini and Paolo Malatesta Appraised by Dante and Virgil,1835,N.L,Ary Scheffer
La casa disabitata,1835,Pillnitz Castle  Dresden,Princess Amalie of Saxony
