Obra, Fecha, Lugar, Autor
Manneken Pis,1619,Brussels,Jerome Duquesnoy
N.O,1619,Reims,Jean-Baptiste Colbert
N.O,1619,Prague,Prince Rupert
N.O,1619,N.L,Donald Cargill
N.O,1619,Culemborg,Jan van Riebeeck
N.O,1619,Paris,Charles Le Brun
N.O,1619,Kirkby Malham,John Lambert
N.O,1619,N.L,Anne Geneviève de Bourbon
N.O,1619,Paris  France,Antoine Furetière
N.O,1501,Brussels,Isabella of Austria
N.O,1487,Brussels,Bernard van Orley
N.O,1619,Haarlem,Philips Wouwerman
N.O,1858,Brussels,George Albert Boulenger
N.O,1877,Brussels,Alfred Loewenstein
N.O,1619,Caundle Purse,Peter Mews
N.O,1619,Kyoto,Yamazaki Ansai
N.O,1619,N.L,Edward Massie
N.O,1619,Seoul,Yi Ho
N.O,1703,Brussels,Joseph-Hector Fiocco
N.O,1619,Kathiawad  Gujrat,Baba Makhan Shah Labana
N.O,1619,Barcelona,Francisco Fernández de la Cueva
N.O,1619,New England,Martha Corey
N.O,1619,Halle  Saxony-Anhalt,Elisabeth Sophie of Saxe-Altenburg
N.O,1619,Rees  Germany,Rijcklof Volckertsz. van Goens
N.O,1619,Uzès,Moyse Charas
N.O,1619,Kōzuke Province,Tsugaru Nobuyoshi&ltbr&gt津軽信義
N.O,1619,Bologna,Giuseppe Felice Tosi
N.O,1909,Brussels,Jean Jadot
N.O,1619,Brussels,Jacques d'Arthois
N.O,1619,N.L,Pye &ltbr/&gt {{my
N.O,1619,Rome,Camillo Astalli-Pamphilj
N.O,1760,Brussels,Petrus Triest
N.O,1619,Stebník,Andrij Savka / Andrew Sawka
N.O,1619,Warsaw,Anne Catherine Constance Vasa
N.O,1619,East Ogwell (near Newton Bushel  Devon,Simon Ford
N.O,1619,N.L,Thomas Pury
N.O,1619,Birkenfeld,Anna Sophia I
N.O,1619,Ansan,Queen Inseon&ltbr&gt 인선왕후
N.O,1969,Brussels,Didier François
N.O,1946,Brussels,Frédéric Flamand
N.O,1619,Écouen,Jean Le Vacher
N.O,1619,N.L,John Berry
N.O,1619,Amsterdam,Leendert van Beijeren
N.O,1866,Brussels,Marie Danse&lt!-- include middle initial  if not specified in birth_name --&gt
N.O,1619,Västmanland,Johan Widekindi
N.O,1944,Brussels,Dominique G. Marchal
N.O,1619,Prata d'Ansidonia,Giuseppe Eusanio
N.O,1619,Rome  Italy,Marcello Santacroce
N.O,1894,Brussels,Pierre Depage
N.O,1619,Naples,Pier Antonio Capobianco
N.O,1619,Amalfi,Andrea Bonito
N.O,1619,Urbino,Giulio Giacomo Castellani
N.O,1619,Montalcino,Pietro Valentini
N.O,1619,Bilbao,Antonio Fernández del Campo Angulo y Velasco
N.O,1980,Brussels,Miriam Gamble
N.O,1897,Brussels,Arthur Hoérée
N.O,1674,Brussels,Gerardus Rubens
N.O,ch 18,Brussels,Georges Meurant
N.O,1619,Massa  Italy,Odoardo Cibo
N.O,1619,Durrës,Nicolaus Carpenia
