Obra, Fecha, Lugar, Autor
Manneken Pis,1619,Brussels,Jerome Duquesnoy
Jeanneke Pis,1985,Brussels,N.N
The False One,1619,N.L,John Fletcher (playwright)
Foolin' Around (Changing Faces song),1619,N.L,Changing Faces (group)
The Extraordinary Adventures of Adèle Blanc-Sec,1976,Brussels,s              Jacques Tardi<ref name Cool>cite web
Bust of Camilla Barbadoni,1619,Copenhagen,Gian Lorenzo Bernini
Damned Soul (Bernini),1619,Rome,Gian Lorenzo Bernini
Het Zinneke,1998,Brussels,N.N
Blessed Soul (Bernini),1619,Rome,Gian Lorenzo Bernini
Rolling Stoned,1619,N.L,Smoke DZA
Christ at the Column (Gregorio Fernández),1619,Valladolid,Gregorio Fernández
Resurrection (Cecco del Caravaggio),1619,Chicago  United States,Cecco del Caravaggio
Saint Paul (Velázquez),1619,Barcelona,Diego Velázquez
