Obra, Fecha, Lugar, Autor
Alexander Mosaic,c. 100,Naples National Archaeological Museum,Unknown
Lavender's Blue,2017,London ,Unknown
Humpty Dumpty,2004,Frankfurt ,Unknown
Alexander Mosaic,c. 100,Naples National Archaeological Museum,Unknown
Liberality and Prodigality,1567,N.L,Unknown
The World and the Child,1508,N.L,Unknown
Pat-a-cake  pat-a-cake  baker's man,N.A,N.L,Unknown
Barbara Allen (song),1986,New York  NY ,Unknown
Ladybird Ladybird,N.A,N.L,Unknown
Hey Diddle Diddle,N.A,N.L,Unknown
Little Boy Blue,N.A,N.L,Unknown
Baa  Baa  Black Sheep,1951,N.L,Unknown
Little Miss Muffet,N.A,Oxford,Unknown
Little Jack Horner,1730,N.L,Unknown
Lord Randall,1968,N.L,Unknown
Hickory Dickory Dock,1997,N.L,Unknown
Lucy Locket,N.A,N.L,Unknown
Frère Jacques,1825,Paris ,Unknown
The Farmer in the Dell,1883,N.L,Unknown
Pease Porridge Hot,N.A,N.L,Unknown
Lyke-Wake Dirge,N.A,N.L,Unknown
Ten Little Indians,N.A,N.L,Unknown
Complete version of ye three blind mice &ltnowiki&gt(1909)&lt/nowiki&gt&lt/ref&gt&ltref&gtGutenberg,1988,N.L,Unknown
This Old Man,N.A,N.L,Unknown
Moralia,c. 100,Roman Greece,Plutarch
This Little Piggy,1912,Boston,Unknown
I've Been Working on the Railroad,1894,N.L,Unknown
Cotton-Eyed Joe,1925,folk song popular at various times throughout the United States and Canada  although today it is most commonly associated with the Southern United States,Unknown
Liber de Coquina,N.A,N.L,Unknown
Cock Robin,N.A,N.L,Unknown
Doctor Foster,N.A,N.L,Unknown
There Was a Crooked Man,2016,Surrey  UK ,Unknown
Ding Dong Bell,2012,N.L,Unknown
The Song of Dermot and the Earl,1892,Ireland,Unknown
Hot Cross Buns,N.A,N.L,Unknown
Simon Necronomicon,1977,United States,Unknown
Mankind,1470,East Anglia,Unknown
There was an Old Woman Who Lived in a Shoe,2008,N.L,Unknown
Aiken Drum,N.A,N.L,Unknown
What Are Little Boys Made Of?,1997,N.L,Unknown
Bye  baby Bunting,N.A,N.L,Unknown
Cock a doodle doo,N.A,N.L,Unknown
&lt!-- Poem name  If other than the Article name   --&gt,N.A,<!-- Country of original publication             -->,Unknown
Nuts in May (rhyme),N.A,N.L,Unknown
Our Goodman,1776,Edinburgh,Unknown
Little Poll Parrot,1998,N.L,Unknown
It's Raining  It's Pouring,N.A,N.L,Unknown
Little Tommy Tucker,N.A,N.L,Unknown
Eg veit i himmerik ei borg,N.A,N.L,Unknown
Taffy was a Welshman,N.A,N.L,Unknown
The Annunciation (Angyali üdvözlet),1984,N.L,Unknown
Darlin' Cory,1927,N.L,Unknown
A Wise Old Owl,N.A,N.L,Unknown
La Lega (song),N.A,N.L,Unknown
Uči me majko  karaj me,N.A,N.L,Unknown
Portsmouth (instrumental),N.A,N.L,Unknown
Dink's Song,1934,New York ,Unknown
I Am Stretched on Your Grave,N.A,of the Asleep ,Unknown
Pretty Little Dutch Girl,N.A,N.L,Unknown
Charles Guiteau,N.A,New York ,Unknown
Camborne Hill,N.A,N.L,Unknown
Dinah  Dinah Show us your Leg,N.A,N.L,Unknown
Cutty Wren,N.A,N.L,Unknown
Wind the Bobbin Up,N.A,N.L,Unknown
Ride a cock horse to Banbury Cross,N.A,N.L,Unknown
Batlló Majesty,N.A,Barcelona,Unknown
Bull-Leaping Fresco,1450,Heraklion  Crete,Unknown
How Many Miles to Babylon?,1971,London ,Unknown
I Had a Little Nut Tree,N.A,N.L,Unknown
Little Robin Redbreast,N.A,N.L,Unknown
Bobby Shafto's Gone to Sea,N.A,N.L,Unknown
Cailín Óg a Stór,1950,New York ,Unknown
The Snows They Melt the Soonest,N.A,N.L,Unknown
The Butcher's Boy (folk song),1968,Hatboro  Pennsylvania ,Unknown
March of Shkup,N.A,N.L,Unknown
Elk (Milwaukee sculpture),1901,Milwaukee,Unknown
Calvin Fletcher (bust),N.A,Indianapolis,Unknown
William H. English (bust),N.A,Indianapolis  Indiana,Unknown
Willie the Weeper,N.A,N.L,Unknown
Houser Memorial,1922,Washington  D.C.,Unknown
Two Men Reading,N.A,Washington  D.C.,Unknown
Thompson-Harding Monument,1898,Washington  D.C.  United States,Unknown
Victor S. Blundon Monument,1936,Washington  D.C.  United States,Unknown
Hermes (sculpture),1583,Milwaukee,Unknown
Flowers of Edinburgh,N.A,N.L,Unknown
Female and Male Herm (sculpture set),N.A,Indianapolis  Indiana,Unknown
Extermination of Evil,N.A,Nara  Nara,Unknown
The Collier’s Rant,N.A,N.L,Unknown
Das Johannesbuch der Mandäer,1905,Iraq  Germany,Unknown
Every Time I Feel the Spirit,N.A,N.L,Unknown
Northumberland Betrayed By Douglas,N.A,N.L,Unknown
Laghu Parashari,N.A,India,Unknown
Syair Siti Zubaidah Perang Cina,1840,British Malaya,Unknown
Bosham Head,N.A,Chichester,Unknown
Streatham portrait,1590,London  England,Unknown
Sumner Monument (Earl Park  Indiana),1882,Earl Park  Indiana,Unknown
Miami Indian (sculpture),1984,Montpelier  Indiana,Unknown
Statue of Queen Anne  Queen Anne's Gate,1705,London  United Kingdom,Unknown
Bell Circles II,1583,Portland  Oregon  United States,Unknown
Korean Temple Bell,1989,Portland  Oregon  United States,Unknown
John Fitzgerald Kennedy Memorial (Portland  Oregon),1965,Portland  Oregon  United States,Unknown
Bison (sculpture),1960,Eugene  Oregon  United States,Unknown
Tirth Pat,N.A,Mumbai,Unknown
Font de Mussa Mosaic,N.A,Prehistory Museum of Valencia,Unknown
Benjamin Franklin (Washington Square),1583,San Francisco  California  United States,Unknown
Pikachu (sculpture),2016,New Orleans  Louisiana,Unknown
Bishop Petros with Saint Peter the Apostle,N.A,Warsaw,Unknown
Saint Anne (wall painting),N.A,Warsaw,Unknown
Early  Early in the Spring (folk song),N.A,N.L,Unknown
Artist's Sketch of Pharaoh Spearing a Lion (Metropolitan Museum of Art),N.A,N.L,Unknown
The Banks of Sweet Primroses,N.A,N.L,Unknown
The Miller's Three Sons,N.A,N.L,Unknown
