Obra, Fecha, Lugar, Autor
The Persistence of Memory,1931,New York City,Salvador Dalí
N.O,1931,Los Angeles,Bill Walsh
N.O,1931,N.L,Claude Piron
N.O,1931,Naponee  Nebraska,David Janssen
N.O,1931,Durham  North Carolina,Fred Brooks
N.O,1931,Mount Kisco  New York,Gavin MacLeod
N.O,1911,New York City,Hank Greenberg
N.O,1931,Yuu-chō  Kuga-Gun  Yamaguchi  Yamaguchi,Heisuke Hironaka
N.O,1896,New York City,Ira Gershwin
N.O,1931,Wuppertal,Johannes Rau
N.O,1931,Nagoya,Toshiki Kaifu
N.O,1931,Boulogne-sur-Seine,Leslie Caron
N.O,1931,Privolnoye  Krasnogvardeysky District  Stavropol Krai,Mikhail Gorbachev&ltbr /&gt{{small
N.O,1931,Aberdyfi,Christopher Riche Evans
N.O,1931,Montreal,Mordecai Richler
N.O,1931,Orange  New Jersey,John Willard Milnor
N.O,1931,Westfield  Alabama,Willie Mays
N.O,1931,Rameswaram,A. P. J. Abdul Kalam
N.O,1931,Oakland  California,Edwin Meese
N.O,1931,Melbourne,John Cain
N.O,1931,Spavinaw  Oklahoma,Mickey Mantle
N.O,1931,Mandal  Norway,Ole-Johan Dahl
N.O,1931,Ponders End,The Lord Tebbit
N.O,1968,New York City,Poe
N.O,1931,Berlin,Mike Nichols
N.O,1931,Elmhurst  Queens,Lindy Remigino
N.O,1931,Coffs Harbour,Marjorie Jackson-Nelson
N.O,1931,Belfast,Bob Shaw
N.O,1931,Collyhurst,Les Dawson
N.O,1931,Chicago,Daniel Ellsberg
N.O,1931,Cleveland  Ohio,Bonvillain
N.O,1931,Rio de Janeiro,Fernando Henrique Cardoso
N.O,1931,Southgate  Kentucky,Jim Bunning
N.O,1931,New York City,Robert Arum
N.O,1950,New York City,David Cassidy
N.O,1966,New York City,Mark Z. Danielewski
N.O,1926,New York City,Frederick Buechner
N.O,1931,Geldrop,Dries van Agt
N.O,1931,New York City,Jerry Herman
N.O,1931,Genoa,Riccardo Giacconi
N.O,1915,New York City,Robert Hofstadter
N.O,1931,Wharton  Texas,Dan Rather
N.O,1912,New York City,Barbara W. Tuchman
N.O,1931,Bridgeton  Glasgow,Lonnie Donegan&ltbr /&gt&ltsmall&gtMBE&lt/small&gt
N.O,1931,N.L,Masaaki Hatsumi
N.O,1931,Clarksdale  Mississippi,Sam Cooke
N.O,1931,Charlotte  North Carolina,John Shelby Spong
N.O,1931,San Jose  California,Norman Mineta
N.O,1931,Queens,Roone Arledge
N.O,1931,Paris,Guy Louis Debord
N.O,1931,New York City,Gene Wolfe
N.O,1931,Torreón,Bernard Francis Law
N.O,1931,Cleveland,Don King
N.O,1931,San Diego,United States of America
N.O,1955,New York City,Christopher Pike
N.O,1931,Gatuyaini,Mwai Kibaki
N.O,1931,Gadsden  Tennessee,Scotty Moore
N.O,1931,Melbourne,Rupert Murdoch
N.O,1931,Colchester,Sir Roger Penrose
N.O,1931,Hova  Sweden,Stig Anderson
N.O,1930,New York City,Stephen Sondheim
N.O,1931,Chicago  Illinois,William Goldman
N.O,1963,New York City,Bruce Schneier
N.O,1904,Figueres,Salvador Dalí
N.O,1931,Rio de Janeiro,Augusto Boal
N.O,1931,Tsinguidi,Pascal Lissouba
N.O,1931,Lorain  Ohio,Toni Morrison
N.O,1931,Milan,Aldo Rossi
N.O,1931,Clarksdale  Mississippi,Ike Turner
N.O,1931,Spokane  Washington,David Eddings
N.O,1931,Boston,Leonard Nimoy
N.O,1931,New York City,Mary Rodgers
N.O,1931,Detroit,Lloyd deMause
N.O,1931,Saratoga  Texas,George Jones
N.O,1931,Medford  Massachusetts,William Ware Theiss
N.O,1832,New York City,Nathaniel P. Langford
N.O,1931,Saint John  New Brunswick,Gerald Merrithew
N.O,1824,New York City,Thomas Starr King
N.O,1931,Camden  New Jersey,Richard &quotGroove&quot Holmes
N.O,1931,Lismore  County Waterford,Dervla Murphy
N.O,1931,Chelsea  Massachusetts,Albert DeSalvo
N.O,1931,Umeå,Ola Ullsten
N.O,1931,St. Catharines,Howard Engel
N.O,1931,Belfast,The Lord Hutton
N.O,1942,New York City,David Stern
N.O,1931,Munshiganj,Iajuddin Ahmed
N.O,1931,Wingham  Ontario,Alice Munro
N.O,1931,N.L,Alvin Lucier
N.O,1931,Montreal,Charles Taylor
N.O,1931,London  Ontario,Jack Chambers
N.O,1931,Providence  Rhode Island,Ronald Dworkin
N.O,1931,New York City,Neil Postman
N.O,1931,Bombay,Anthony de Mello
N.O,1931,Breslau,Michael Oser Rabin
N.O,1931,Liverpool,Sir Anthony Kenny
N.O,1931,Herminie,Sonny Clark
N.O,1931,Sheboygan  Wisconsin,Jackie Mason
N.O,1931,Ferguson  Oklahoma  U.S.,Jean Hill
N.O,1931,Leicester,Colin Wilson
N.O,1898,New York City,Peggy Guggenheim
