Obra, Fecha, Lugar, Autor
The Persistence of Memory,1931,New York City,Salvador Dalí
A Free Soul,1931,United States,Clarence Brown
Dr. Jekyll and Mr. Hyde,1931,United States,Rouben Mamoulian
Pet Sounds,2016,New York City,The Beach Boys
Mourning Becomes Electra,1931,August Wilson Theatre,Eugene O'Neill
Skippy,1931,United States,Norman Taurog
Trader Horn,1931,United States,W.S. Van Dyke
Bad Girl,1931,United States,Frank Borzage
The Champ,1931,United States,King Vidor
Five Star Final,1931,United States,Mervyn LeRoy
The Smiling Lieutenant,1931,United States,Ernst Lubitsch
M,1931,Weimar Republic,Fritz Lang
City Lights,1931,United States,Charlie Chaplin
The Forgotten Frontier,1931,United States,Marvin Breckinridge Patterson
Frankenstein,1931,United States,James Whale
The Public Enemy,1931,United States,William A. Wellman
Tabu: A Story of the South Seas,1931,United States,F.W. Murnau
September Morn,1911,New York City,Paul Émile Chabas
Cavalcade,1931,Theatre Royal  Drury Lane|London  England,Noël Coward
''The Skin Game,1931,United Kingdom,Alfred Hitchcock
The Sin of Madelon Claudet,1931,United States,Edgar Selwyn
Sixteen Stone,2004,New York City,Bush (British band)
Babar the Elephant,1931,France,Jean de Brunhoff
Chaos A.D.,1993,New York City,Sepultura
Roots,1996,New York City,Sepultura
Stripped (Christina Aguilera album),2002,New York City,Christina Aguilera
Cyborg (comics),2008,New York City,-linkRobert Greenberger
Bad Hair Day,2013,New York City,"Weird Al" Yankovic
Grace Choi,2008,New York City,N.N
À nous la liberté,1931,France,René Clair
Darkseid,2010,New York City,Kristy Puchko
Starman (comics),1980,New York City,s
The Persistence of Memory,1931,New York City,Salvador Dalí
Arrowsmith,1931,United States,John Ford
My Aim Is True,2013,New York City,Elvis Costello
Catwoman,2008,New York City,s  collapsible list
Gordon,1992,New York City,Barenaked Ladies
Kameradschaft,1931,Weimar Republic<br/>France,G. W. Pabst
Black No More,1931,N.L,George S. Schuyler
Ancient Agora of Athens,1931,Greece,N.N
Layla and Other Assorted Love Songs,2015,New York City,Derek and the Dominos
Smiley Smile,1967,New York City,the Beach Boys
Freedom Fighters,2008,New York City,-linkRobert Greenberger
Hold Your Fire,1997,New York City,Rush (band)
Dream Caused by the Flight of a Bee Around a Pomegranate a Second Before Awakening,1944,Madrid,Salvador Dalí
Christ the Redeemer (statue),1931,Corcovado mountain    Rio de Janeiro  Brazil,Created by the French sculptor Paul Landowski and built by the engineer Heitor da Silva Costa Brazil in collab with the French engineer Albert Caquot. Romanian sculptor Gheorghe Leonida created the face of the statue
Black Dog,1971,New York City,Led Zeppelin
Kilroy Was Here (album),1983,New York City,Styx (band)
Madvillainy,2011,New York City,Madvillain
Crusaders,2008,New York City,-linkPhil Jimenez
Dracula,1931,United States,Plainlist
The Perfect Kiss,N.A,New York City,New Order (band)
Heart-Shaped Box,2014,New York City,Nirvana (band)
Hell Divers,1931,United States,George W. Hill (uncredited)
Come See About Me,1964,New York City,The Supremes
Caustic Grip,2015,New York City,Front Line Assembly
The House That Shadows Built,1931,United States,N.N
Rich and Strange,1931,United Kingdom,John Maxwell (producer)
I'm a Slave 4 U,2001,New York City,Britney Spears
Money Money 2020,2006,New York City,The Network
Love in Vain,1939,New York City,Robert Johnson
Atomizer (album),1981,New York City,Big Black
Chestnut Street Incident,N.A,New York City,John Mellencamp
Monkey Business,1931,Berkeley and Los Angeles ,Norman Z. McLeod
Mädchen in Uniform,1931,Weimar Republic,Leontine Sagan
Whole Lotta Love,2450,New York City,Led Zeppelin
Roz Chast,2014,New York City,N.N
A Bronx Morning,1931,United States,Jay Leyda
Miss America (DC Comics),2008,New York City,-linkRobert Greenberger
What to Do When You Are Dead,2005,New York City,Armor for Sleep
The Funeral of the Anarchist Galli,1910,New York City,Carlo Carrà
(Don't Fear) The Reaper,2008,New York City,Blue Öyster Cult
* --&gt,2006,New York City,linkTim Dowling
New York Asian Film Festival,2012,New York City,N.N
Dirigible,1931,United States,Frank Capra
The Glass Key,1931,United States,Dashiell Hammett
I'm Not a Girl  Not Yet a Woman,2009,New York City,Britney Spears
Charmbracelet,2003,New York City,Mariah Carey
Beau Hunks,1931,United States,James W. Horne
Don McGregor,2010,New York City,link  Peter Sanderson
The Painted Desert,1931,United States,Howard Higgin<ref nameTheiapolis>cite web
From Under the Cork Tree,2015,New York City,Fall Out Boy
Doll Girl,2008,New York City,-linkScott Beatty
Do the Bartman,2014,New York City,The Simpsons
Alam Ara ,1931,British India (Now India & Pakistan),Ardeshir Irani
Working Class Hero,2010,New York City,John Lennon
Ecstasy,1989,New York City,My Bloody Valentine (band)
The Sphere,1971,New York City,Fritz Koenig
The 35th of May  or Conrad's Ride to the South Seas,1931,Germany,Erich Kästner
Heartaches,1931,N.L,N.N
State of Mind (Front Line Assembly album),1997,New York City,Front Line Assembly
Boogie Chillen',1948,New York City,John Lee Hooker
Cimarron,1931,United States,Wesley Ruggles
Fighter (song),2002,New York City,Christina Aguilera
Mary,1931,Weimar Republic|United Kingdom,Alfred Hitchcock
Cater 2 U,2004,New York City,Destiny's Child
Michael and Mary,1931,United Kingdom,Victor Saville
Joe Maneely,1991,New York City,link Les Daniels
La Chienne,1931,France,Jean Renoir
Love Don't Cost a Thing (song),1689,New York City,Jennifer Lopez
