Obra, Fecha, Lugar, Autor
Rosetta Stone,196 BC,British Museum,Sarah El Shaarawi
Rillaton Gold Cup,c. 1700,British Museum,N.N
Water Newton Treasure: Silver jug,N.A,British Museum,N.N
Thetford Hoard,N.A,British Museum,N.N
Dunaverney flesh-hook,1050,British Museum,N.N
Little Thetford flesh hook,1150,British Museum,2Sheridan Bowman
Kurkh Monoliths,c. 852,British Museum,link John George Taylor
Nimrud Tablet K 3751,733 BC,British Museum,N.N
Azekah Inscription,700 BC,British Museum,N.N
Esarhaddon's Treaty with Ba'al,675 BC,British Museum,N.N
Sargon II's Prism A,N.A,British Museum,1Mazar  A.
Folkton Drums,2600,British Museum,N.N
Assyrian lion weights,c. 800,British Museum,N.N
Golden Rhinoceros of Mapungubwe,1075,British Museum,N.N
