Obra, Fecha, Lugar, Autor
Asterix,1959,France,N.N
20 000 Leagues under the Sea  obsolete translation by Lewis Mercier  1872,1870,France,JulesVerne
Léon: The Professional,1994,France,LucBesson
Around the World in Eighty Days,2853,France,JulesVerne
The Big Fisherman,1959,United States,FrankBorzage
''The Stranger'' or ''The Outsider'',NA,France,AlbertCamus
Story of O,NA,France,AnneDesclos
The Graduate (soundtrack),1959,Spain,Simon&GarfunkelandDaveGrusin
Life a User's Manual,1978,France,GeorgesPerec
Les Misérables,1915,France,VictorHugo
La Grande Illusion,1937,France,JeanRenoir
The Little Prince,1996,France,AntoinedeSaint-Exupéry
North by Northwest,1959,United States,AlfredHitchcock
Pull My Daisy,1959,United States,RobertFrank AlfredLeslie
Shadows,1959,United States,JohnCassavetes
Some Like It Hot,1959,United States,BillyWilder
Tartarin of Tarascon,N.A,France,AlphonseDaudet
Rio Bravo,1959,United States,HowardHawks
The Count of Monte Cristo,1844,France,AlexandreDumas<br/><small>incollaborationwithAugusteMaquet</small>
Becket,1959,St. James Theatre,JeanAnouilh
The Conquest of Bread,N.A,France,PeterKropotkin
Anatomy of a Murder,1959,United States,OttoPreminger
Room at the Top,1959,United Kingdom,JackClayton
Level 7,1959,United States,MordecaiRoshwald
Encyclopédie  ou dictionnaire raisonné des sciences  des arts et des métiers,3558,France,Encyclopédistes
Uranus,1990,France,ClaudeBerri ArletteLangmann
Keep the Faith,1959,Spain,BonJovi
The Fifth Element,1997,France,LucBesson
Alphaville,1965,France,Jean-LucGodard
Darby O'Gill and the Little People,1959,United States,RobertStevenson(director)
Shoah,1985,France,ClaudeLanzmann
Les Diaboliques,1955,France,Henri-GeorgesClouzot
The 120 Days of Sodom,1809,France,MarquisdeSade
Madame Bovary,1914,France,GustaveFlaubert
The Last Angry Man,1959,United States,DanielMann
The Phantom of the Opera,2016,France,GastonLeroux
Asterix,1959,France,plainlist
Candide,1759,France,Voltaire
La Jetée,1962,France,ChrisMarker
Larousse Gastronomique,N.A,France,ProsperMontagné
Camera Lucida: Reflections on Photography ,1980,France,RolandBarthes
Mythologies,1957,France,RolandBarthes
Old Goriot,NA,France,HonorédeBalzac
My Life on Ice,2002,France,OlivierDucastel JacquesMartineau
Taxi,1998,France,GérardPirès
Themroc,1973,France,ClaudeFaraldo
Beau Travail,1999,France,ClaireDenis
Day for Night,1973,France,FrançoisTruffaut
Lancelot du Lac,1974,France,RobertBresson
Passage of Arms,1959,United Kingdom,EricAmbler
Delicatessen,1991,France,MarcCaro<br/>Jean-PierreJeunet
The Passion of Joan of Arc,1928,France,CarlTheodorDreyer
The Wretched of the Earth,2004,France,FrantzFanon
The History of Sexuality,1976,France,MichelFoucault
''Les Rougon-Macquart  Histoire naturelle et sociale d'une famille sous le Second Empire'',1871,France,ÉmileZola
The Ballad Hits,1959,Spain,Roxette
The Mystery of the Yellow Room,N.A,France,GastonLeroux
Existentialism and Humanism,NA,France,Jean-PaulSartre
The Fall,N.A,France,AlbertCamus
Patients,2017,France,GrandCorpsMalade MehdiIdir
The Flowers of Evil,1857,France,CharlesBaudelaire
Fonzy,2013,France,IsabelleDoval
Being and Nothingness,NA,France,Jean-PaulSartre
Pillow Talk,1959,United States,MichaelGordon(filmdirector)
Napoléon,1927,France,AbelGance
The Rules of the Game,1939,France,JeanRenoir
The 400 Blows,1959,France,FrançoisTruffaut
Critique of Dialectical Reason,1960,France,Jean-PaulSartre
Babar the Elephant,1931,France,JeandeBrunhoff
A Man and a Woman,1966,France,ClaudeLelouch
L'Age d'Or,1930,France,LuisBuñuel
Orpheus,1950,France,JeanCocteau
The Three Musketeers,NA,France,linkAlexandreDumas
Speak to Me of Love,2002,France,AlainSarde
To Be and to Have&ltbr /&gt&ltsmall&gt(Être et avoir)&lt/small&gt,2002,France,NicolasPhilibert
Cousin Cousine,1975,France,DanielToscanduPlantier
'''The Lover''',1984,France,MargueriteDuras
Ridicule,1996,France,PatriceLeconte
The Black Tulip,N.A,France,AlexandreDumas père
The Diary of Anne Frank,1959,United States,GeorgeStevens
From the Earth to the Moon,2002,France,JulesVerne
The Oath,N.A,France,ElieWiesel
Le Roi de cœur (original French title)&ltbr&gtKing of Hearts (United States),1966,France,PhilipedeBroca
''Fall Rot'',2001,France,linkKarl-HeinzFrieser
The Mummy,1959,United Kingdom,TerenceFisher
Naked Lunch,1959,France,WilliamS.Burroughs
The Man on the Train,2002,France,PatriceLeconte
Irréversible,2002,France,GasparNoé
The Forbidden Forest,1955,France,MirceaEliade
Stolen Kisses,1968,France,FrançoisTruffaut
The Vicomte of Bragelonne: Ten Years Later,1997,France,AlexandreDumas <small>incollaborationwithAugusteMaquet</small>
Irma Vep,1996,France,OlivierAssayas
The Sirens of Titan,1959,United States,KurtVonnegut
Breathless,1960,France,Jean-LucGodard
Bonsoir,1994,France,Jean-PierreMocky
Germinal,1906,France,ÉmileZola
Dangerous Liaisons,2007,France,PierreChoderlosdeLaclos
The Americans,NA,France,RobertFrank
