Obra, Fecha, Lugar, Autor
Il trovatore,1853,Nowrap,Giuseppe Verdi
The Makropulos Affair,1926,Nowrap,Leoš Janáček
Ur,1853,Tell el-Muqayyar  Dhi Qar Province  Iraq,link
Falstaff,1893,Nowrap,Giuseppe Verdi
Aida,1871,Nowrap,Giuseppe Verdi
''La traviata'',1853,Nowrap,Giuseppe Verdi
Il trovatore,1853,Nowrap,Giuseppe Verdi
''Ernani'',1844,Nowrap,Giuseppe Verdi
Don Carlos,1867,Nowrap,Giuseppe Verdi
''La fille du régiment'',1840,Nowrap,Gaetano Donizetti
''Don Pasquale'',1843,Nowrap,Gaetano Donizetti
''Lucia di Lammermoor'',1835,Nowrap,Gaetano Donizetti
'''I puritani''',1835,Nowrap,Vincenzo Bellini
Rigoletto,1851,Nowrap,Giuseppe Verdi
Otello,1887,Nowrap,Giuseppe Verdi
''L'elisir d'amore'',1832,Nowrap,Gaetano Donizetti
Guillaume Tell,1829,Nowrap,Gioachino Rossini
La vestale,1807,Nowrap,Gaspare Spontini
La Cenerentola,1817,Nowrap,Gioachino Rossini
Semiramide,1823,Nowrap,Gioachino Rossini
''Simon Boccanegra'',1857,Nowrap,Giuseppe Verdi
Norma,1831,Nowrap,Vincenzo Bellini
''Un ballo in maschera'',1859,Nowrap,Giuseppe Verdi
Lang,1862,Bolshoi Kamenny Theatre  Saint Petersburg,Giuseppe Verdi
''Maria Stuarda'',1835,Nowrap,Gaetano Donizetti
Anna Bolena,1830,Nowrap,Gaetano Donizetti
''Roberto Devereux'',1837,Nowrap,Gaetano Donizetti
Dafne,1598,Nowrap,hlist
The Bartered Bride,1866,Nowrap,Bedřich Smetana
Nabucco,1842,Nowrap,Giuseppe Verdi
Káťa Kabanová,1921,Nowrap,Leoš Janáček
Jenůfa,1904,Nowrap,Leoš Janáček
The Cunning Little Vixen,1924,Nowrap,Leoš Janáček
From the House of the Dead,1930,Nowrap,Leoš Janáček
Euridice,1600,Nowrap,hlist
''Macbeth'',N.A,plainlist,Giuseppe Verdi
''Oberto Conte di San Bonifacio'',1839,Nowrap,Giuseppe Verdi
Un giorno di regno,1840,Nowrap,Giuseppe Verdi
''I Lombardi'',1843,Nowrap,Giuseppe Verdi
''I due Foscari'',1844,Nowrap,Giuseppe Verdi
''I masnadieri'',1847,Nowrap,Giuseppe Verdi
''Luisa Miller'',1849,Nowrap,Giuseppe Verdi
''Aroldo'',1857,Nowrap,Giuseppe Verdi (Originally ''Stiffelio'' of 1850)
''Les vêpres siciliennes'',1855,Nowrap,Giuseppe Verdi
''Giovanna d'Arco'',1845,Nowrap,Giuseppe Verdi
''Attila'',1846,Nowrap,Giuseppe Verdi
Otello,1816,Nowrap,Gioachino Rossini
Mosè in Egitto,1818,Nowrap,Gioachino Rossini
Destiny,1958,Nowrap,Leoš Janáček
The Excursions of nowrap,1920,Nowrap,Leoš Janáček
Šárka,1925,Nowrap,Leoš Janáček
The Brandenburgers in Bohemia,1866,Nowrap,Bedřich Smetana
Dalibor,1868,Nowrap,Bedřich Smetana
Iris,1898,Nowrap,Pietro Mascagni
Fedora,1898,Nowrap,Umberto Giordano
A Key to Uncle Tom's Cabin,1853,United States,Harriet Beecher Stowe
''Il corsaro'',1848,Nowrap,Giuseppe Verdi
''La battaglia di Legnano'',1849,Nowrap,Giuseppe Verdi
''Stiffelio'',1850,Nowrap,Giuseppe Verdi
'''I Capuleti e i Montecchi''',1830,Nowrap,Vincenzo Bellini
Šárka,1897,Nowrap,Zdeněk Fibich
''Alzira'',1845,Nowrap,Giuseppe Verdi
Hagith,1922,Nowrap,Karol Szymanowski
'''Il pirata''',1827,Nowrap,Vincenzo Bellini
Linda di Chamounix,1842,Nowrap,Gaetano Donizetti
Maria de Rudenz,1838,Nowrap,Gaetano Donizetti
Maria di Rohan,1843,Nowrap,Gaetano Donizetti
L'amico Fritz,1891,Nowrap,Pietro Mascagni
Beatrice di Tenda,1833,Nowrap,Vincenzo Bellini
'''La straniera''',1829,Nowrap,Vincenzo Bellini
''Bianca e Fernando'',1828,Nowrap,Vincenzo Bellini (Revised version of ''Bianca e Gernando'')
'''I Lithuani''',1874,Nowrap,Amilcare Ponchielli
The Beginning of a Romance,1894,Nowrap,Leoš Janáček
''Jérusalem'',1847,Nowrap,Giuseppe Verdi
Le comte Ory,1828,Nowrap,Gioachino Rossini
''Biographical Sketches of Joseph Smith  the Prophet  and His Progenitors for Many Generations'',1853,England,Lucy Mack Smith
Twelve Years a Slave,1853,United States,Solomon Northup
Le duc d'Albe&ltbr /&gtIl duca d'Alba,1882,Nowrap,Gaetano Donizetti
Elisabetta  regina d'Inghilterra,1815,Nowrap,Gioachino Rossini
Crazy Horse Memorial,2008,Nowrap,Korczak Ziolkowski
Little Eva: The Flower of the South,1853,United States,Philip J. Cozans
Cavalleria rusticana,1890,Nowrap,Pietro Mascagni
''Adelia'',1841,Nowrap,Gaetano Donizetti
16th London Turkish Film&ampnbspFestival,1853,London  England,N.N
Patience and Sarah,1998,Nowrap,Paula M. Kimper
&quotCock-A-Doodle-Doo! or  The Crowing of the Nobel Cock Beneventano&quot,1853,United States,Herman Melville
Hypatia  or New Foes with an Old Face,1853,United Kingdom,Charles Kingsley
The Poor Bride,1853,Maly Theatre (Moscow),Aleksander Ostrovsky
Stay in Your Own Sled ,1853,Maly Theatre (Moscow),Aleksander Ostrovsky
Oscar,2013,Nowrap,Theodore Morrison
''I vespri siciliani'',1855,Nowrap,Giuseppe Verdi
Médée,1797,Nowrap,Luigi Cherubini
Chata za wsią,1853,N.L,N.N
Ur,1853,Tell el-Muqayyar  Dhi Qar Province  Iraq,N.N
